,Rk,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Passes_in_Gameflow,Passes_Out_of_Gameflow,Freekick,Throughball,40_yds_pass,Crosses,Corner_Kicks,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Straight,Passes_Offside,Passes_Blocked,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,League,cluster_tackel,cluster_anticipation,cluster_pass,cluster_possesion
395,396,João Palhinha,PT,MF,MF,Fulham,27,1995,147.0,83.0,58.0,65.0,24.0,71.0,134.0,53.0,63.0,48.0,5.0,43.0,46.0,193.0,61.0,2.0,1051.0,1274.0,82.5,18222.0,4336.0,527.0,600.0,87.8,396.0,462.0,85.7,107.0,157.0,68.2,0.0,0.4,0.4,-0.4,7.0,118.0,3.0,0.0,101.0,1222.0,48.0,32.0,0.0,38.0,3.0,0.0,0.0,0.0,0.0,4.0,15.0,1714.0,81.0,433.0,1056.0,247.0,33.0,1714.0,39.0,14.0,35.9,15.0,38.5,2775.0,935.0,10.0,3.0,37.0,28.0,919.0,18.0,30.0,0.87,21.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,2,2,1,2
398,399,Lucas Paquetá,BR,MF,MF,West Ham,24,1997,71.0,53.0,23.0,36.0,12.0,27.0,66.0,40.9,39.0,41.0,4.0,37.0,16.0,87.0,31.0,0.0,907.0,1157.0,78.4,14158.0,4393.0,476.0,559.0,85.2,324.0,394.0,82.2,68.0,104.0,65.4,3.0,2.5,2.6,0.5,32.0,98.0,30.0,3.0,147.0,1075.0,73.0,21.0,13.0,11.0,22.0,1.0,0.0,0.0,0.0,9.0,28.0,1475.0,46.0,239.0,839.0,419.0,49.0,1474.0,63.0,33.0,52.4,22.0,34.9,3437.0,1475.0,34.0,6.0,48.0,44.0,964.0,63.0,79.0,3.3,57.0,1.0,4.0,8.0,6.0,3.0,12.0,0.5,6.0,0.0,1.0,3.0,2.0,0.0,EPL,1,2,1,2
399,400,Thomas Partey,GH,MF,MF,Arsenal,29,1993,70.0,40.0,20.0,35.0,15.0,25.0,52.0,48.1,27.0,26.0,5.0,21.0,28.0,98.0,41.0,1.0,1731.0,1985.0,87.2,30132.0,9207.0,804.0,876.0,91.8,712.0,801.0,88.9,178.0,240.0,74.2,0.0,1.5,2.4,-1.5,26.0,231.0,24.0,2.0,231.0,1923.0,59.0,32.0,11.0,12.0,9.0,0.0,0.0,0.0,0.0,3.0,20.0,2267.0,78.0,418.0,1406.0,466.0,29.0,2267.0,45.0,35.0,77.8,8.0,17.8,6866.0,3847.0,38.0,3.0,33.0,19.0,1654.0,35.0,71.0,2.57,62.0,2.0,1.0,2.0,1.0,3.0,6.0,0.22,6.0,0.0,0.0,0.0,0.0,0.0,EPL,1,2,1,2
400,401,Nathan Patterson,SCT,DF,MF,Everton,20,2001,49.0,24.0,32.0,13.0,4.0,29.0,53.0,54.7,24.0,24.0,4.0,20.0,15.0,64.0,45.0,0.0,488.0,649.0,75.2,7279.0,2596.0,284.0,315.0,90.2,172.0,230.0,74.8,22.0,67.0,32.8,0.0,0.4,0.7,-0.4,6.0,21.0,10.0,4.0,24.0,503.0,145.0,7.0,1.0,0.0,39.0,1.0,0.0,0.0,0.0,1.0,14.0,836.0,71.0,310.0,295.0,238.0,19.0,836.0,24.0,11.0,45.8,12.0,50.0,1940.0,851.0,12.0,3.0,22.0,9.0,431.0,51.0,20.0,1.41,16.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
401,402,Ben Pearson,ENG,MF,MF,Bournemouth,27,1995,7.0,3.0,3.0,3.0,1.0,1.0,3.0,33.3,2.0,4.0,0.0,4.0,2.0,9.0,6.0,0.0,108.0,134.0,80.6,1814.0,501.0,50.0,58.0,86.2,45.0,55.0,81.8,8.0,15.0,53.3,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,130.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,162.0,8.0,56.0,90.0,17.0,0.0,162.0,1.0,0.0,0.0,0.0,0.0,242.0,103.0,0.0,0.0,6.0,0.0,100.0,4.0,2.0,0.63,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
403,404,Andreas Pereira,BR,MF,MF,Fulham,26,1996,18.0,9.0,3.0,6.0,9.0,8.0,33.0,24.2,25.0,21.0,3.0,18.0,6.0,24.0,8.0,0.0,701.0,1068.0,65.6,13078.0,4235.0,336.0,419.0,80.2,229.0,315.0,72.7,116.0,251.0,46.2,6.0,5.2,4.1,0.7999999999999998,60.0,86.0,22.0,9.0,121.0,826.0,231.0,81.0,1.0,21.0,196.0,116.0,51.0,50.0,0.0,11.0,39.0,1312.0,14.0,106.0,608.0,613.0,66.0,1311.0,49.0,17.0,34.7,25.0,51.0,3968.0,1662.0,44.0,10.0,52.0,51.0,853.0,133.0,118.0,3.94,57.0,44.0,2.0,9.0,6.0,0.0,12.0,0.4,5.0,5.0,0.0,2.0,0.0,0.0,EPL,1,1,1,3
404,405,Ricardo Pereira,PT,DF,MF,Leicester City,28,1993,11.0,7.0,8.0,3.0,0.0,7.0,17.0,41.2,10.0,8.0,2.0,6.0,4.0,15.0,20.0,0.0,252.0,322.0,78.3,4024.0,1552.0,130.0,147.0,88.4,105.0,125.0,84.0,12.0,27.0,44.4,1.0,0.6,0.6,0.4,7.0,25.0,10.0,3.0,27.0,259.0,61.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,14.0,383.0,23.0,116.0,183.0,90.0,4.0,383.0,7.0,5.0,71.4,1.0,14.3,605.0,323.0,9.0,2.0,7.0,3.0,217.0,14.0,15.0,2.97,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
406,407,Ivan Perišić,HR,DF,MF,Tottenham,33,1989,42.0,24.0,25.0,10.0,7.0,27.0,47.0,57.4,20.0,29.0,7.0,22.0,22.0,64.0,49.0,1.0,713.0,1121.0,63.6,12565.0,3575.0,357.0,443.0,80.6,249.0,389.0,64.0,91.0,210.0,43.3,8.0,6.1,5.2,1.9000000000000004,48.0,29.0,36.0,24.0,61.0,895.0,221.0,16.0,0.0,13.0,196.0,67.0,57.0,6.0,0.0,5.0,43.0,1370.0,73.0,357.0,443.0,583.0,94.0,1370.0,40.0,18.0,45.0,19.0,47.5,3704.0,2075.0,29.0,35.0,33.0,14.0,733.0,181.0,75.0,3.2,55.0,16.0,1.0,2.0,1.0,0.0,11.0,0.47,7.0,3.0,1.0,0.0,0.0,0.0,EPL,1,2,1,2
408,409,Máximo Perrone,AR,MF,MF,Manchester City,19,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,228.0,32.0,11.0,12.0,91.7,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,4.0,12.0,6.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,4.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
409,410,Cameron Peupion,AU,MF,MF,Brighton,19,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,33.0,1.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
410,411,Kalvin Phillips,ENG,MF,MF,Manchester City,26,1995,6.0,4.0,3.0,3.0,0.0,2.0,9.0,22.2,7.0,7.0,3.0,4.0,5.0,11.0,10.0,0.0,289.0,313.0,92.3,5155.0,873.0,113.0,120.0,94.2,148.0,153.0,96.7,25.0,33.0,75.8,0.0,0.2,0.1,-0.2,3.0,32.0,0.0,0.0,18.0,310.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,354.0,16.0,64.0,243.0,49.0,6.0,354.0,2.0,1.0,50.0,0.0,0.0,1021.0,331.0,4.0,0.0,2.0,1.0,284.0,2.0,7.0,2.1,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
416,417,Pedro Porro,ES,DF,MF,Tottenham,22,1999,25.0,16.0,8.0,15.0,2.0,14.0,39.0,35.9,25.0,25.0,2.0,23.0,15.0,40.0,24.0,1.0,465.0,648.0,71.8,7553.0,2604.0,241.0,272.0,88.6,168.0,221.0,76.0,43.0,98.0,43.9,3.0,3.0,2.3,0.0,25.0,28.0,23.0,14.0,39.0,525.0,121.0,6.0,7.0,4.0,77.0,24.0,12.0,12.0,0.0,2.0,29.0,817.0,45.0,246.0,293.0,285.0,25.0,817.0,41.0,14.0,34.1,23.0,56.1,2283.0,1359.0,17.0,4.0,15.0,7.0,480.0,95.0,41.0,3.26,29.0,7.0,1.0,2.0,1.0,1.0,6.0,0.48,6.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,2
418,419,Isaac Price,NIR,MF,MF,Everton,18,2003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,85.7,203.0,44.0,6.0,7.0,85.7,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,5.0,10.0,2.0,0.0,17.0,1.0,1.0,100.0,0.0,0.0,40.0,12.0,0.0,0.0,1.0,0.0,13.0,0.0,2.0,5.45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
426,427,Harrison Reed,ENG,MF,MF,Fulham,27,1995,44.0,27.0,17.0,21.0,6.0,16.0,50.0,32.0,34.0,54.0,12.0,42.0,19.0,63.0,36.0,0.0,988.0,1281.0,77.1,15467.0,3661.0,517.0,612.0,84.5,355.0,421.0,84.3,76.0,133.0,57.1,4.0,4.1,2.0,-0.0999999999999996,35.0,82.0,29.0,11.0,102.0,1225.0,51.0,14.0,0.0,4.0,54.0,3.0,2.0,1.0,0.0,5.0,46.0,1585.0,57.0,292.0,842.0,463.0,50.0,1585.0,28.0,10.0,35.7,16.0,57.1,3430.0,1141.0,22.0,4.0,44.0,25.0,972.0,107.0,74.0,2.32,64.0,2.0,2.0,3.0,3.0,0.0,7.0,0.22,6.0,0.0,1.0,0.0,0.0,0.0,EPL,1,2,1,2
428,429,Declan Rice,ENG,MF,MF,West Ham,23,1999,79.0,38.0,44.0,31.0,4.0,31.0,50.0,62.0,19.0,45.0,15.0,30.0,63.0,142.0,58.0,0.0,1846.0,2135.0,86.5,33652.0,9456.0,850.0,944.0,90.0,735.0,789.0,93.2,223.0,324.0,68.8,1.0,3.2,1.9,-2.2,37.0,233.0,13.0,3.0,240.0,2060.0,70.0,48.0,4.0,60.0,44.0,19.0,15.0,1.0,0.0,5.0,26.0,2475.0,123.0,670.0,1419.0,433.0,24.0,2474.0,63.0,35.0,55.6,23.0,36.5,9145.0,4894.0,75.0,5.0,28.0,26.0,1642.0,37.0,100.0,2.75,86.0,7.0,1.0,1.0,2.0,3.0,6.0,0.16,6.0,0.0,0.0,0.0,0.0,0.0,EPL,2,2,1,2
431,432,Jaïro Riedewald,NL,DF,MF,Crystal Palace,25,1996,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,34.0,45.0,75.6,467.0,137.0,21.0,24.0,87.5,13.0,17.0,76.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,38.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,54.0,6.0,19.0,23.0,14.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,111.0,69.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
436,437,Marc Roca,ES,MF,MF,Leeds United,25,1996,66.0,40.0,27.0,34.0,5.0,20.0,65.0,30.8,45.0,34.0,10.0,24.0,23.0,89.0,24.0,2.0,978.0,1295.0,75.5,16572.0,6565.0,495.0,575.0,86.1,359.0,450.0,79.8,94.0,201.0,46.8,2.0,2.9,2.6,-0.8999999999999999,33.0,157.0,17.0,2.0,172.0,1188.0,102.0,55.0,7.0,10.0,76.0,40.0,20.0,16.0,0.0,5.0,17.0,1571.0,47.0,333.0,914.0,333.0,26.0,1571.0,30.0,17.0,56.7,10.0,33.3,3627.0,1914.0,18.0,6.0,26.0,26.0,948.0,28.0,52.0,2.02,34.0,10.0,2.0,3.0,2.0,1.0,4.0,0.16,1.0,1.0,0.0,1.0,1.0,0.0,EPL,1,2,1,2
438,439,Rodri,ES,MF,MF,Manchester City,26,1996,67.0,41.0,28.0,28.0,11.0,26.0,52.0,50.0,26.0,40.0,14.0,26.0,33.0,100.0,43.0,1.0,2723.0,2987.0,91.2,49949.0,11936.0,1103.0,1187.0,92.9,1278.0,1369.0,93.4,300.0,354.0,84.7,6.0,4.1,3.5,1.9000000000000004,32.0,265.0,33.0,3.0,260.0,2943.0,43.0,37.0,2.0,26.0,6.0,0.0,0.0,0.0,0.0,1.0,21.0,3272.0,119.0,706.0,1993.0,592.0,62.0,3272.0,37.0,25.0,67.6,8.0,21.6,10293.0,5622.0,72.0,3.0,21.0,19.0,2511.0,37.0,92.0,2.84,80.0,0.0,4.0,6.0,1.0,1.0,10.0,0.31,10.0,0.0,0.0,0.0,0.0,0.0,EPL,1,2,1,2
442,443,Oriol Romeu,ES,MF,MF,Southampton,30,1991,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,28.0,30.0,93.3,453.0,79.0,10.0,11.0,90.9,15.0,16.0,93.8,2.0,2.0,100.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,5.0,19.0,14.0,1.0,37.0,1.0,1.0,100.0,0.0,0.0,128.0,66.0,1.0,0.0,1.0,0.0,20.0,0.0,3.0,3.65,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
444,445,Connor Ronan,IE,MF,MF,Wolves,24,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,37.0,18.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,100.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
446,447,Joe Rothwell,ENG,MF,MF,Bournemouth,27,1995,20.0,13.0,7.0,12.0,1.0,7.0,21.0,33.3,14.0,14.0,3.0,11.0,9.0,29.0,7.0,0.0,385.0,457.0,84.2,6524.0,1662.0,179.0,196.0,91.3,154.0,165.0,93.3,36.0,68.0,52.9,1.0,1.0,1.5,0.0,8.0,34.0,11.0,1.0,33.0,402.0,54.0,24.0,4.0,2.0,26.0,21.0,12.0,4.0,3.0,1.0,6.0,538.0,19.0,131.0,309.0,105.0,5.0,538.0,23.0,16.0,69.6,7.0,30.4,1640.0,790.0,12.0,2.0,8.0,4.0,319.0,12.0,24.0,2.12,16.0,6.0,1.0,1.0,0.0,0.0,2.0,0.18,1.0,1.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
449,450,Marcel Sabitzer,AT,MF,MF,Manchester Utd,28,1994,12.0,8.0,3.0,8.0,1.0,2.0,11.0,18.2,9.0,6.0,2.0,4.0,8.0,20.0,11.0,0.0,237.0,307.0,77.2,3577.0,1123.0,129.0,157.0,82.2,80.0,97.0,82.5,15.0,22.0,68.2,1.0,0.9,1.3,0.0999999999999999,10.0,30.0,7.0,1.0,38.0,293.0,9.0,4.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,7.0,377.0,18.0,69.0,200.0,110.0,20.0,377.0,3.0,1.0,33.3,1.0,33.3,751.0,361.0,6.0,0.0,9.0,5.0,247.0,26.0,20.0,2.87,16.0,1.0,0.0,1.0,2.0,0.0,3.0,0.43,3.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
455,456,Albert Sambi Lokonga,BE,MF,MF,Arsenal,22,1999,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,5.0,6.0,2.0,0.0,132.0,140.0,94.3,2321.0,539.0,59.0,62.0,95.2,60.0,63.0,95.2,11.0,12.0,91.7,0.0,0.0,0.1,0.0,1.0,17.0,1.0,0.0,12.0,135.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,154.0,6.0,32.0,95.0,29.0,0.0,154.0,2.0,1.0,50.0,0.0,0.0,393.0,145.0,6.0,0.0,1.0,1.0,113.0,2.0,4.0,1.82,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
456,457,Albert Sambi Lokonga,BE,MF,MF,Crystal Palace,22,1999,13.0,10.0,7.0,4.0,2.0,8.0,12.0,66.7,4.0,8.0,3.0,5.0,7.0,20.0,10.0,0.0,228.0,264.0,86.4,3763.0,1080.0,112.0,124.0,90.3,96.0,101.0,95.0,17.0,28.0,60.7,0.0,0.0,0.1,0.0,1.0,23.0,0.0,0.0,20.0,250.0,10.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,325.0,22.0,109.0,170.0,47.0,2.0,325.0,5.0,1.0,20.0,2.0,40.0,804.0,368.0,2.0,0.0,3.0,6.0,211.0,2.0,6.0,1.01,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
460,461,Morgan Sanson,FR,MF,MF,Aston Villa,27,1994,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,7.0,71.4,55.0,12.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
462,463,Jeremy Sarmiento,EC,MF,MF,Brighton,20,2002,6.0,3.0,4.0,1.0,1.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,1.0,7.0,0.0,0.0,53.0,67.0,79.1,694.0,191.0,32.0,38.0,84.2,16.0,19.0,84.2,1.0,2.0,50.0,1.0,0.2,0.3,0.8,2.0,4.0,5.0,1.0,11.0,67.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,13.0,39.0,48.0,10.0,100.0,11.0,6.0,54.5,4.0,36.4,386.0,129.0,3.0,1.0,6.0,7.0,77.0,20.0,10.0,5.11,6.0,0.0,1.0,2.0,1.0,0.0,2.0,1.02,2.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
473,474,Jonjo Shelvey,ENG,MF,MF,Newcastle Utd,30,1992,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,19.0,26.0,73.1,442.0,176.0,5.0,6.0,83.3,8.0,10.0,80.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,23.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,8.0,18.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,63.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
474,475,Jonjo Shelvey,ENG,MF,MF,Nott'ham Forest,30,1992,2.0,1.0,0.0,1.0,1.0,1.0,9.0,11.1,8.0,7.0,2.0,5.0,5.0,7.0,10.0,1.0,221.0,302.0,73.2,4761.0,1861.0,73.0,86.0,84.9,98.0,112.0,87.5,47.0,98.0,48.0,0.0,0.3,0.8,-0.3,6.0,37.0,8.0,2.0,34.0,271.0,31.0,27.0,3.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,345.0,23.0,102.0,209.0,35.0,1.0,345.0,4.0,4.0,100.0,0.0,0.0,978.0,442.0,3.0,0.0,3.0,4.0,214.0,0.0,16.0,2.67,11.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
479,480,Oliver Skipp,ENG,MF,MF,Tottenham,21,2000,34.0,17.0,18.0,15.0,1.0,16.0,33.0,48.5,17.0,17.0,8.0,9.0,17.0,51.0,19.0,1.0,660.0,772.0,85.5,10674.0,2639.0,326.0,354.0,92.1,270.0,300.0,90.0,42.0,63.0,66.7,0.0,0.6,0.4,-0.6,10.0,52.0,7.0,1.0,56.0,755.0,12.0,7.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,5.0,14.0,915.0,45.0,245.0,554.0,124.0,7.0,915.0,15.0,11.0,73.3,3.0,20.0,2147.0,941.0,15.0,2.0,17.0,16.0,634.0,25.0,27.0,1.63,24.0,0.0,0.0,0.0,2.0,1.0,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,EPL,1,1,2,1
486,487,Tomáš Souček,CZ,MF,MF,West Ham,27,1995,77.0,37.0,41.0,29.0,7.0,28.0,58.0,48.3,30.0,42.0,17.0,25.0,53.0,130.0,71.0,3.0,709.0,994.0,71.3,11602.0,3417.0,360.0,476.0,75.6,255.0,338.0,75.4,66.0,106.0,62.3,3.0,1.9,1.1,1.1,15.0,67.0,11.0,6.0,88.0,982.0,12.0,10.0,0.0,6.0,20.0,1.0,1.0,0.0,0.0,0.0,28.0,1366.0,124.0,432.0,652.0,288.0,71.0,1366.0,17.0,2.0,11.8,12.0,70.6,2087.0,695.0,17.0,0.0,23.0,18.0,742.0,52.0,52.0,1.66,41.0,0.0,0.0,8.0,1.0,2.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,EPL,2,2,2,2
487,488,Boubakary Soumaré,FR,MF,MF,Leicester City,23,1999,57.0,34.0,29.0,26.0,2.0,23.0,43.0,53.5,20.0,15.0,4.0,11.0,33.0,90.0,27.0,1.0,776.0,902.0,86.0,11579.0,3059.0,429.0,470.0,91.3,276.0,314.0,87.9,39.0,57.0,68.4,0.0,0.4,0.5,-0.4,11.0,80.0,5.0,1.0,73.0,895.0,7.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,1091.0,45.0,319.0,675.0,112.0,2.0,1091.0,22.0,12.0,54.5,6.0,27.3,2940.0,1182.0,12.0,0.0,26.0,22.0,733.0,20.0,23.0,1.27,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,2
492,493,Junior Stanislas,ENG,MF,MF,Bournemouth,32,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,28.0,78.6,329.0,71.0,12.0,14.0,85.7,9.0,11.0,81.8,0.0,1.0,0.0,0.0,0.1,0.2,-0.1,2.0,3.0,0.0,0.0,4.0,27.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,3.0,15.0,16.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,92.0,13.0,1.0,0.0,1.0,1.0,27.0,5.0,4.0,5.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
